R1;CUPS;Número (ID5);Póliza;Autoconsumo;CAU;Es servicios auxiliares;Coordenada X;Coordenada Y;Coordenada Z;Nudo;Provincia;Municipio;Parroquia/población;CT AA conectividad;Línea;Tramo;Fase;Tensión alimentación (kV);Tipo instalación (conexión);Pot. contratada (kW);Pot. máxima;Potencia instalada (adscrita) (kW);Tarifa;Tipo equipo medida;Fecha de instalación equipo de medida;Código CNAE;Casa cerrada;Fecha alta contrato;Fecha baja contrato;Observaciones;Coordenada X Z29;Coordenada Y Z29;Coordenada X Z31;Coordenada Y Z31;Sustituye a;Sustituido por;Inspección;CT AA manual;Excluido conectividad;Digitalizar;infra_id
R1-112;ES0157000041500644WJ;KAM0027594442;41500644;;;;335475,355;4082747,05;441;0484601363LB368763556;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000593;;0,23;Fachada;2,3;;;2.0TD;SMT;;9820;0;13/02/2022 19:19;;;870294,438;4089219,566;-199849,506;4110015,254;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041600682MR;11309955;41600682;;;;335510,355;4082782,05;443;0484562869LB368766771;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000639;;0,23;Fachada;3,45;;;;MEC;;9820;0;05/04/2016 9:50;;;870327,213;4089256,747;-199812,154;4110048,162;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041600684MA;KAM0027612660;41600684;;;;335512,355;4082771,05;443;0484560388LB368765783;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000621;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870329,904;4089245,88;-199810,845;4110036,994;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041600685MG;KAM0027614485;41600685;;;;335525,355;4082739,05;451;0484545114LB368762922;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000530;;0,23;Fachada;6,9;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870344,91;4089214,718;-199799,829;4110004,05;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041600688MF0F;27002194;41600688;;;;335564,354;4082666,04;457;0484499794LB368756413;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000784;;0,23;Fachada;2,3;;;2.0TD;MEC;;9820;0;31/05/2021 21:58;;;870388,48;4089144,208;-199765,321;4109928,294;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041600705YR;KAM0027594689;41600705;;;;335522,355;4082723,05;445;0484548132LB368761476;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000803;;0,23;Fachada;4,6;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870342,919;4089198,539;-199803,856;4109988,181;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041600710YY;15974222;41600710;;;;335542,355;4082691,05;451;0484525008LB368758627;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000789;;0,23;Fachada;3,45;;;2.0TD;MEC;;9820;0;09/12/2021 14:35;;;870364,92;4089167,818;-199785,813;4109954,793;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041600712YP;15974230;41600712;;;;335548,355;4082681,05;452;0484518062LB368757737;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000791;;0,23;Fachada;2,3;;;2.0TD;MEC;;9820;0;31/05/2021 21:58;;;870371,546;4089158,202;-199780,426;4109944,375;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041600713YD;KAM0027594611;41600713;;;;335552,354;4082673,05;457;0484513404LB368757023;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000792;;0,23;Fachada;4,6;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870376,046;4089150,458;-199776,92;4109936,092;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041600714YX;KAM0027614179;41600714;;;;335554,354;4082671,05;458,5;0484511118LB368756846;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000793;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870378,171;4089148,585;-199775,04;4109933,958;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041600953QL;KAM0027594573;41600953;;;;335514,355;4082767,05;443;0484558058LB368765426;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000624;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;22/04/2022 10:47;;;870332,154;4089242,008;-199809,092;4110032,852;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041601272FQ0F;(error consulta Clientes);41601272;;;;335543,355;4082704,05;457,58;0484524168LB368759800;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000801;;0,23;Fachada;0;;;;;;;;;;;870365,102;4089180,872;-199783,984;4109967,778;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041601308DY;15974283;41601308;;;;335541,355;4082710,05;450;0484526541LB368760337;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000802;;0,23;Fachada;3,45;;;;MEC;;9820;0;23/09/2009 22:52;;;870362,725;4089186,743;-199785,611;4109973,927;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041700719FB;KAM0019150282;41700719;;;;335485,355;4082708,05;442,295;0484589302LB368760060;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000564;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870306,886;4089181,22;-199841,945;4109975,475;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041700721FJ;KAM0029577442;41700721;;;;335491,355;4082697,05;439;0484582334LB368759079;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000567;;0,23;Fachada;3,45;;;;SMT;;9820;0;31/05/2021 21:58;;;870313,575;4089170,604;-199836,621;4109964,053;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041700722FZ0F;KAM0027614161;41700722;;;;335492,355;4082691,05;450,065;0484581083LB368758540;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000561;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;06/03/2022 17:46;;;870314,952;4089164,671;-199835,998;4109957,968;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041700727FL;KAM0027612306;41700727;;;;335504,355;4082661,05;446;0484566974LB368755858;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000537;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;09/07/2021 11:15;;;870328,832;4089135,445;-199825,859;4109927,095;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041700728FC;375455;41700728;;;;335513,354;4082646,05;449;0484556557LB368754522;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000769;;0,23;Fachada;2,3;;;;MEC;;9820;0;23/09/2009 22:52;;;870338,77;4089121,02;-199817,779;4109911,468;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041700735PG;KAM0019150245;41700735;;;;335494,355;4082705,05;439;0484579143LB368759805;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000571;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;28/10/2021 19:38;;;870316,069;4089178,788;-199833,102;4109971,893;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041701156AB;KAM0020239394;41701156;;;;335528,354;4082617,05;457;0484539105LB368751935;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000762;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870355,586;4089092,983;-199804,564;4109881,408;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041701270PX;KAM0019150285;41701270;;;;335515,355;4082666,05;452,075;0484554746LB368756328;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000774;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;09/06/2022 12:03;;;870339,511;4089141,134;-199814,5;4109931,415;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041701327XK;KAM0027612350;41701327;;;;335499,355;4082693,05;445;0484573276LB368758733;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000550;;0,23;Fachada;5,75;;;2.0TD;SMT;;9820;0;11/11/2022 19:47;;;870321,821;4089167,11;-199828,845;4109959,531;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041701411ZJ;KAM0020239479;41701411;;;;335502,355;4082667,05;451,08;0484569347LB368756395;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000535;;0,23;Fachada;4,6;;;2.0TD;SMT;;9820;0;31/07/2021 11:54;;;870326,456;4089141,315;-199827,485;4109933,244;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041800745DX;11803447;41800745;;;;335544,354;4082633,05;457;0484521509LB368753405;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000776;;0,23;Fachada;3,45;;;;MEC;;9820;0;23/09/2009 22:52;;;870370,569;4089109,98;-199787,489;4109896,452;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041800746DB;(error consulta Clientes);41800746;;;;335542,354;4082633,05;457;0484523752LB368753401;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000777;;0,23;Fachada;0;;;;;;;;;;;870368,57;4089109,854;-199789,497;4109896,579;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041800747DN;(error consulta Clientes);41800747;;;;335593,354;4082687,04;465;0484467726LB368758355;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000391;;0,23;Fachada;0;;;;;;;;;;;870416,14;4089167,02;-199734,88;4109947,531;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041801210YS0F;KAM0027281351;41801210;;;;335584,354;4082537,04;474;0484474568LB368744825;Málaga;Ardales;;;112.LBT.D200000128;112.BTV.D200000308;;0,4;Subterránea;1,038;;;2.0TD;SMT;;6010;0;31/05/2021 21:58;;;870416,586;4089016,547;-199753,437;4109797,547;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041801398ZL;KAM0019248340;41801398;;;;335584,354;4082645,04;467;0484476909LB368754556;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000385;;0,23;Fachada;4,6;;;;SMT;;9820;0;31/05/2021 21:58;;;870409,789;4089124,48;-199746,58;4109905,947;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041801694GQ;KAM0027612267;41801694;;;;335603,354;4082555,04;481;0484453650LB368746480;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.T100000089;;0,23;Subterránea;3,45;;;2.0TD;SMT;;161;0;31/05/2021 21:58;;;870434,442;4089035,731;-199733,224;4109814,407;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041900750XB;KAM0020239571;41900750;;;;335501,355;4082728,05;445;0484571792LB368761889;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000809;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;03/11/2022 13:41;;;870321,617;4089202,214;-199824,616;4109994,533;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041900751XN;KAM0027612123;41900751;;;;335498,355;4082727,05;440;0484575134LB368761794;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000808;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870318,682;4089201,026;-199827,691;4109993,72;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041900753XZ;KAM0027614009;41900753;;;;335477,355;4082718,05;440;0484598491LB368760947;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000713;;0,23;Fachada;2,3;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870298,262;4089190,71;-199849,34;4109986,02;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041900755XQ;KAM0027594790;41900755;;;;335458,355;4082706,05;438;0484619539LB368759832;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000709;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870280,029;4089177,522;-199869,172;4109975,182;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041900761XE;KAM0019150207;41900761;;;;335493,355;4082719,05;440;0484580568LB368761065;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000811;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870314,189;4089192,716;-199833,217;4109986,008;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041900769BF;KAM0027613486;41900769;;;;335431,355;4082683,05;443;0484649320LB368757713;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000697;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870254,493;4089152,837;-199897,732;4109953,811;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041900770BP0F;KAM0019878209;41900770;;;;335425,355;4082680,05;443;0484655984LB368757432;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000699;;0,23;Fachada;2,3;;;2.0TD;SMT;;9820;0;03/09/2021 19:25;;;870248,686;4089149,461;-199903,945;4109951,181;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041901053TS0F;KAM0027613536;41901053;;;;335479,355;4082712,05;440;0484596118LB368760410;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000684;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870300,638;4089184,84;-199847,713;4109979,871;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041901295BG0F;KAM0027614141;41901295;;;;335442,355;4082690,05;438;0484637136LB368758363;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000692;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870265,046;4089160,524;-199886,247;4109960,138;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000042000789JT0F;KAM0027614306;42000789;;;;335426,355;4082641,05;448;0484654016LB368753920;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000731;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;27/06/2022 11:46;;;870252,14;4089110,548;-199905,417;4109911,973;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000042001377SJ;KAM0027612125;42001377;;;;335417,355;4082677,05;442,215;0484664891LB368757148;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000715;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870240,88;4089145,959;-199912,165;4109948,678;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000042001716FF;KAM0027612043;42001716;;;;335406,355;4082707,05;434;0484677878LB368759832;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000742;;0,23;Fachada;4,6;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870227,998;4089175,248;-199921,301;4109979,487;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000042601061YH;14362902;42601061;;;;335692,355;4082769,04;439,465;0484358474LB368765916;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000002;;0,23;Subterránea;3,45;;;;MEC;;9820;0;23/09/2009 22:53;;;870509,919;4089255,2;-199630,307;4110023,548;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000042601062YL;KAM0027594416;42601062;;;;335692,355;4082769,04;439,465;0484358474LB368765916;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000002;;0,23;Subterránea;2,3;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870509,919;4089255,2;-199630,307;4110023,548;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000042601063YC;KAM0027594601;42601063;;;;335692,355;4082769,04;439,465;0484358474LB368765916;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000002;;0,23;Subterránea;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870509,919;4089255,2;-199630,307;4110023,548;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000042601064YK;KAM0027612368;42601064;;;;335692,355;4082769,04;439,465;0484358474LB368765916;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000002;;0,23;Subterránea;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870509,919;4089255,2;-199630,307;4110023,548;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000042601066FT;KAM0027612308;42601066;;;;335685,355;4082761,04;448;0484366151LB368765183;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D200000340;;0,23;Subterránea;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870503,426;4089246,764;-199637,841;4110015,963;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000042601067FR;KAM0027594588;42601067;;;;335685,355;4082761,04;448;0484366151LB368765183;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D200000340;;0,23;Subterránea;2,3;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870503,426;4089246,764;-199637,841;4110015,963;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000042601072FY0F;KAM0027612044;42601072;;;;335702,355;4082781,04;441;0484347518LB368767014;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000004;;0,23;Subterránea;3,45;;;2.0TD;SMT;;9820;0;18/10/2022 10:40;;;870519,157;4089267,822;-199619,508;4110034,958;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000042601180BE;KAM0029767004;42601180;;;;335718,354;4082675,04;443;0484327280LB368757492;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000036;;0,4;Fachada;5,32;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870541,818;4089162,895;-199610,18;4109927,55;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000042601293QC;KAM0027613308;42601293;;;;335719,354;4082685,04;443;0484326375LB368758394;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000034;;0,23;Fachada;2,3;;;2.0TD;SMT;;161;0;31/05/2021 21:58;;;870542,188;4089172,951;-199608,541;4109937,524;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000042601365CT0F;KAM0027594667;42601365;;;;335721,355;4082767,04;441;0484325907LB368765786;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.T100000010;;0,23;Subterránea;4,6;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870539,026;4089255,027;-199601,327;4110019,7;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000042601402KZ;KAM0027613386;42601402;;;;335751,355;4082763,04;430;0484292175LB368765478;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000053;;0,23;Subterránea;4,6;;;2.0TD;SMT;;9820;0;04/07/2022 12:31;;;870569,26;4089252,917;-199571,47;4110013,78;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000045501669BG;KAM0029767002;45501669;;;;335756,355;4082807,04;431;0484287520LB368769451;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000015;;0,4;Subterránea;5,19;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870571,487;4089297,205;-199563,658;4110057,626;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000045601484AE;KAM0029767000;45601484;;;;335790,355;4082793,04;426;0484249086LB368768249;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000060;;0,4;Subterránea;9,7;;;2.0TD;SMT;;8412;0;31/05/2021 21:58;;;870606,347;4089285,353;-199530,421;4110041,415;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050300203XW0F;14697802;50300203;;;;335563,356;4082850,05;431;0484504903LB368772990;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000524;;0,23;Fachada;2,3;;;2.0TD;MEC;;9820;0;31/05/2021 21:58;;;870375,901;4089328,04;-199754,64;4110113,048;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050300216XS0F;KAM0027594580;50300216;;;;335632,355;4082808,04;451;0484426609LB368769325;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000485;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870447,501;4089290,399;-199688,053;4110066,502;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050300226BW;KAM0019878275;50300226;;;;335674,355;4082744,04;447;0484378119LB368763632;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D200000320;;0,23;Fachada;4,6;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870493,503;4089229,083;-199649,961;4109999,599;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050300228BG0F;KAM0027594332;50300228;;;;335654,355;4082785,04;443,09;0484401437LB368767291;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000476;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870470,935;4089268,798;-199667,432;4110042,02;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050300231BF;KAM0019878248;50300231;;;;335609,355;4082815,05;440;0484452555LB368769916;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000498;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870424,074;4089295,957;-199710,693;4110074,998;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050300237BJ;KAM0027594556;50300237;;;;335569,355;4082835,05;431;0484497849LB368771649;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000502;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870382,84;4089313,427;-199749,571;4110097,612;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050300239BS0F;KAM0027612389;50300239;;;;335548,356;4082834,05;432,622;0484521378LB368771522;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000507;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;07/10/2021 19:52;;;870361,917;4089311,106;-199770,711;4110097,941;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050300249NW;KAM0020239360;50300249;;;;335635,355;4082799,04;451;0484423049LB368768520;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000480;;0,23;Fachada;4,6;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870451,066;4089281,594;-199685,613;4110057,278;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050301200FX0F;KAM0027613387;50301200;;;;335699,354;4082597,04;439;0484346898LB368750431;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D200000334;;0,23;Subterránea;3,45;;;2.0TD;SMT;;9821;0;31/05/2021 21:58;;;870527,739;4089083,747;-199634,202;4109850,468;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050301201FB;KAM0027612252;50301201;;;;335699,354;4082597,04;439;0484346898LB368750431;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D200000334;;0,23;Subterránea;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870527,739;4089083,747;-199634,202;4109850,468;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050301203FJ0F;KAM0027594627;50301203;;;;335699,354;4082689,04;356;0484348891LB368758720;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D200000325;;0,23;Aérea;3,45;;;2.0TD;SMT;;4339;0;31/05/2021 21:58;;;870521,948;4089175,69;-199628,361;4109942,808;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050301416QL0F;KAM0027612249;50301416;;;;335548,356;4082853,05;431;0484521790LB368773234;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000522;;0,23;Fachada;4,6;;;2.0TD;SMT;;9820;0;24/10/2021 17:21;;;870360,722;4089330,094;-199769,505;4110117,012;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050301670GC;KAM0027613113;50301670;;;;335600,355;4082825,05;440;0484462866LB368770801;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000496;;0,23;Fachada;2,3;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870414,45;4089305,385;-199719,091;4110085,607;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050400266JS0F;(error consulta Clientes);50400266;;;;335529,355;4082800,05;442;0484541951LB368768425;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000649;;0,23;Fachada;0;;;;;;;;;;;870345,068;4089275,932;-199791,941;4110065,022;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050500306QM0F;KAM0027594707;50500306;;;;335653,356;4082883,05;424;0484404681LB368776120;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000158;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870463,768;4089366,685;-199662,212;4110140,456;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050500316QS0F;KAM0027612983;50500316;;;;335694,355;4082857,04;432;0484358137LB368773848;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000088;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870506,379;4089343,271;-199622,713;4110111,747;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050500334VX;14697943;50500334;;;;335662,355;4082865,04;424;0484394199LB368774513;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000105;;0,23;Fachada;3,45;;;2.0TD;MEC;;9820;0;31/05/2021 21:58;;;870473,895;4089349,252;-199654,323;4110121,808;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050501036RE0F;KAM0027613613;50501036;;;;335637,356;4082893,05;419;0484422842LB368776993;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000148;;0,23;Fachada;4,6;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870447,149;4089375,671;-199677,636;4110151,509;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050501149YC0F;KAM0026733810;50501149;;;;335630,356;4082899,04;419;0484430823LB368777521;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000166;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;02/06/2022 14:02;;;870439,776;4089381,217;-199684,282;4110157,965;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050501332ZL0F;KAM0027594781;50501332;;;;335602,356;4082909,05;415;0484462442LB368778373;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000200;;0,23;Fachada;3,45;;;2.0TD;SMT;;9001;0;31/05/2021 21:58;;;870411,163;4089389,458;-199711,75;4110169,79;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050501353SV0F;KAM0027594595;50501353;;;;335629,356;4082889,05;419;0484431728LB368776618;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000143;;0,23;Fachada;4,6;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870439,405;4089371,17;-199685,92;4110148,002;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050501380QK;KAM0026733846;50501380;;;;335770,355;4082810,04;430;0484271884LB368769746;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000013;;0,23;Subterránea;4,6;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870585,29;4089301,084;-199549,416;4110059,748;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000050501497ET;KAM0027594744;50501497;;;;335650,356;4082885,05;418;0484408089LB368776294;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000156;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870460,644;4089368,495;-199665,096;4110142,654;;;;CT28 DEPOSITO AGUA;;;
